"kaupverd";"teg_eign";"svfn";"byggar";"efstah";"haednr";"fjibmhl";"fjmib";"lyfta";"birtm2";"fjhaed";"fjbkar";"fjsturt";"fjklos";"fjeld";"fjherb";"fjstof";"fjgeym";"matssvaedi";"undirmatssvaedi"
31500;"Íbúðareign";0;"1914";2;1;3;1;0;108.8;1;0;1;1;1;2;1;1;25;0
21000;"Íbúðareign";0;"1959";8;8;16;1;1;91;1;1;0;1;1;2;1;1;100;1
16000;"Íbúðareign";0;"1961";9;6;70;1;1;54.2;1;1;0;1;1;1;1;0;90;0
22650;"Íbúðareign";1400;"1928";2;1;2;1;0;81.8;2;1;0;1;1;4;1;0;660;0
28500;"Íbúðareign";1300;"1987";2;1;9;1;0;130.3;1;0;1;1;1;2;1;0;500;0
41000;"Einbýlishús";1300;"1964";1;1;1;1;0;153.3;1;1;0;2;1;4;2;0;500;0
15800;"Íbúðareign";1000;"1979";8;5;48;1;1;78.1;1;1;0;1;1;2;1;0;320;62
39500;"Íbúðareign";1000;"2005";2;1;2;1;0;159.4;1;0;1;2;1;4;1;1;350;0
22430;"Íbúðareign";1400;"1947";3;2;3;1;0;103.2;2;1;0;1;1;4;1;0;600;0
51000;"Raðhús";0;"1960";2;1;1;1;0;227.4;3;1;0;3;1;5;1;0;100;55
19200;"Íbúðareign";0;"1995";2;1;8;1;0;94.8;1;1;0;1;1;2;1;1;130;0
43500;"Raðhús";0;"1960";2;1;1;1;0;186.8;2;1;0;2;1;4;1;2;100;0
31800;"Íbúðareign";0;"1983";3;2;2;1;0;123.1;1;0;1;1;1;3;1;1;20;0
41000;"Raðhús";0;"1995";2;1;1;1;0;171.3;2;1;0;2;1;4;1;0;130;0
15100;"Íbúðareign";0;"1973";8;3;62;1;2;79.3;1;1;0;1;1;2;1;0;160;0
33000;"Íbúðareign";0;"1942";1;1;2;1;0;202.1;1;1;0;1;1;2;1;1;100;0
17900;"Íbúðareign";0;"1918";2;0;3;1;0;80.9;1;1;1;1;1;2;1;0;20;0
31000;"Íbúðareign";0;"1906";3;2;3;1;0;115.7;2;1;0;1;1;4;2;0;20;0
15000;"Íbúðareign";1000;"1973";2;2;2;1;0;56.8;1;1;0;1;1;1;1;0;300;0
21000;"Íbúðareign";1000;"1996";5;3;7;1;0;91.6;1;1;1;1;1;2;1;0;340;0
38500;"Íbúðareign";1000;"2006";3;2;17;1;0;172.2;1;1;1;2;1;3;1;0;350;0
20600;"Íbúðareign";1000;"1971";2;1;4;1;0;106.5;1;1;0;1;1;2;1;0;320;0
42500;"Íbúðareign";1100;"2009";3;1;26;1;4;115.9;1;1;1;1;1;2;1;0;400;0
25700;"Íbúðareign";0;"1992";3;2;17;1;0;114.3;1;0;1;1;1;3;1;0;130;0
15300;"Íbúðareign";1604;"1991";3;3;9;1;0;70.1;1;1;0;1;1;1;1;0;800;0
17000;"Íbúðareign";0;"1991";6;5;42;1;2;51.2;1;0;1;1;1;1;1;1;281;0
10100;"Íbúðareign";1604;"1992";3;1;9;1;0;36.7;1;0;1;1;1;1;1;0;800;0
28457;"Parhús";2000;"2005";1;1;1;1;0;156.2;1;1;0;1;1;3;1;0;2040;0
